Date,Close
2015-10-23,11.85
2015-10-26,11.52
2015-10-27,11.02
2015-10-28,11.79
2015-10-29,11.87
2015-10-30,11.83
2015-11-02,11.62
2015-11-03,11.5
2015-11-04,11.27
2015-11-05,11.12
2015-11-06,11.01
2015-11-09,10.73
2015-11-10,10.22
2015-11-11,9.52
2015-11-12,9.37
2015-11-13,9.24
2015-11-16,9.57
2015-11-17,7.34
2015-11-18,7.99
2015-11-19,7.63
2015-11-20,7.72
2015-11-23,8.02
2015-11-24,8.47
2015-11-25,8.07
2015-11-27,8.06
2015-11-30,8.09
2015-12-01,8.14
2015-12-02,8.73
2015-12-03,8.8
2015-12-04,8.59
2015-12-07,8.56
2015-12-08,8.39
2015-12-09,9.68
2015-12-10,9.32
2015-12-11,9.27
2015-12-14,9.55
2015-12-15,9.96
2015-12-16,10.27
2015-12-17,10.02
2015-12-18,10.53
2015-12-21,10.4
2015-12-22,9.74
2015-12-23,9.79
2015-12-24,9.82
2015-12-28,9.67
2015-12-29,9.65
2015-12-30,9.62
2015-12-31,9.56
2016-01-04,9.92
2016-01-05,10.07
2016-01-06,10.07
2016-01-07,9.41
2016-01-08,9.6
2016-01-11,9.53
2016-01-12,9.44
2016-01-13,9.13
2016-01-14,9.47
2016-01-15,9.12
2016-01-19,7.77
2016-01-20,8.66
2016-01-21,8.38
2016-01-22,8.51
2016-01-25,7.74
2016-01-26,8.02
2016-01-27,8.04
2016-01-28,8.33
2016-01-29,8.3
2016-02-01,8.53
2016-02-02,8.48
2016-02-03,8.4
2016-02-04,8.3
2016-02-05,8.05
2016-02-08,7.93
2016-02-09,7.77
2016-02-10,7.19
2016-02-11,6.27
2016-02-12,5.45
2016-02-16,5.96
2016-02-17,6.06
2016-02-18,5.99
2016-02-19,5.79
2016-02-22,5.85
2016-02-23,5.63
2016-02-24,5.51
2016-02-25,5.89
2016-02-26,7.93
2016-02-29,7.89
2016-03-01,6.52
2016-03-02,4.89
2016-03-03,4.7
2016-03-04,4.94
2016-03-07,5.21
2016-03-08,4.17
2016-03-09,4.22
2016-03-10,4.09
2016-03-11,4.19
2016-03-14,3.96
2016-03-15,3.65
2016-03-16,3.62
2016-03-17,3.46
2016-03-18,3.57
2016-03-21,3.36
2016-03-22,3.32
2016-03-23,2.96
2016-03-24,2.76
2016-03-28,2.72
2016-03-29,2.56
2016-03-30,2.62
2016-03-31,2.65
2016-04-01,2.55
2016-04-04,2.42
2016-04-05,2.45
2016-04-06,3.08
2016-04-07,3.01
2016-04-08,3.06
2016-04-11,3.02
2016-04-12,3.09
2016-04-13,2.99
2016-04-14,3.01
2016-04-15,3.09
2016-04-18,3.02
2016-04-19,3.01
2016-04-20,3.04
2016-04-21,3.17
2016-04-22,3.37
2016-04-25,3.3
2016-04-26,3.34
2016-04-27,3.6
2016-04-28,3.4
2016-04-29,3.34
2016-05-02,3.21
2016-05-03,2.87
2016-05-04,2.97
2016-05-05,2.64
2016-05-06,2.46
2016-05-09,2.48
2016-05-10,2.42
2016-05-11,2.26
2016-05-12,2.22
2016-05-13,2.24
2016-05-16,2.32
2016-05-17,2.26
2016-05-18,2.28
2016-05-19,2.32
2016-05-20,2.52
2016-05-23,2.69
2016-05-24,2.72
2016-05-25,2.75
2016-05-26,2.63
2016-05-27,3.74
2016-05-31,3.59
2016-06-01,3.29
2016-06-02,3.29
2016-06-03,3.21
2016-06-06,3.26
2016-06-07,3.28
2016-06-08,3.35
2016-06-09,3.28
2016-06-10,3.19
2016-06-13,2.95
2016-06-14,2.89
2016-06-15,2.96
2016-06-16,3.04
2016-06-17,3.28
2016-06-20,3.33
2016-06-21,3.27
2016-06-22,3.01
2016-06-23,3.1
2016-06-24,2.96
2016-06-27,2.67
2016-06-28,2.8
2016-06-29,3.05
2016-06-30,3.07
2016-07-01,3.0
2016-07-05,2.88
2016-07-06,2.85
2016-07-07,2.84
2016-07-08,2.82
2016-07-11,2.84
2016-07-12,2.84
2016-07-13,2.75
2016-07-14,3.01
2016-07-15,3.1
2016-07-18,3.17
2016-07-19,3.09
2016-07-20,3.16
2016-07-21,3.09
2016-07-22,3.06
2016-07-25,3.07
2016-07-26,3.12
2016-07-27,3.06
2016-07-28,3.03
2016-07-29,3.02
2016-08-01,2.94
2016-08-02,2.84
2016-08-03,2.85
2016-08-04,2.78
2016-08-05,2.97
2016-08-08,3.19
2016-08-09,3.49
2016-08-10,3.37
2016-08-11,3.38
2016-08-12,3.23
2016-08-15,3.3
2016-08-16,3.29
2016-08-17,3.25
2016-08-18,3.28
2016-08-19,3.26
2016-08-22,3.24
2016-08-23,3.22
2016-08-24,3.21
2016-08-25,3.23
2016-08-26,3.24
2016-08-29,3.2
2016-08-30,3.15
2016-08-31,3.18
2016-09-01,3.2
2016-09-02,3.26
2016-09-06,3.25
2016-09-07,3.19
2016-09-08,3.33
2016-09-09,3.22
2016-09-12,3.18
2016-09-13,2.98
2016-09-14,3.02
2016-09-15,3.02
2016-09-16,2.99
2016-09-19,2.99
2016-09-20,2.94
2016-09-21,2.93
2016-09-22,2.96
2016-09-23,3.02
2016-09-26,2.99
2016-09-27,3.1
2016-09-28,3.15
2016-09-29,3.16
2016-09-30,3.16
2016-10-03,3.12
2016-10-04,3.05
2016-10-05,3.18
2016-10-06,3.18
2016-10-07,3.19
2016-10-10,3.2
2016-10-11,3.19
2016-10-12,3.16
2016-10-13,3.1
2016-10-14,3.21
2016-10-17,3.15
2016-10-18,3.15
2016-10-19,3.2
2016-10-20,3.25
2016-10-21,3.3
2016-10-24,3.3
2016-10-25,3.3
2016-10-26,3.1
2016-10-27,3.15
2016-10-28,3.15
2016-10-31,3.1
2016-11-01,3.0
2016-11-02,2.9
2016-11-03,2.9
2016-11-04,2.85
2016-11-07,2.9
2016-11-08,3.2
2016-11-09,3.0
2016-11-10,2.9
2016-11-11,2.9
2016-11-14,2.9
2016-11-15,2.75
2016-11-16,2.8
2016-11-17,2.75
2016-11-18,2.75
2016-11-21,2.7
2016-11-22,2.7
2016-11-23,2.9
2016-11-25,2.95
2016-11-28,2.95
2016-11-29,2.95
2016-11-30,2.9
2016-12-01,2.9
2016-12-02,2.85
2016-12-05,2.95
2016-12-06,2.95
2016-12-07,2.95
2016-12-08,2.95
2016-12-09,3.0
2016-12-12,3.05
2016-12-13,2.95
2016-12-14,2.85
2016-12-15,2.8
2016-12-16,2.9
2016-12-19,3.0
2016-12-20,2.95
2016-12-21,2.8
2016-12-22,2.85
2016-12-23,2.8
2016-12-27,2.85
2016-12-28,2.75
2016-12-29,2.7
2016-12-30,2.55
2017-01-03,2.7
2017-01-04,2.7
2017-01-05,2.75
2017-01-06,2.8
2017-01-09,2.8
2017-01-10,2.95
2017-01-11,3.05
2017-01-12,2.95
2017-01-13,3.05
2017-01-17,3.0
2017-01-18,2.95
2017-01-19,2.95
2017-01-20,3.05
2017-01-23,3.0
2017-01-24,3.05
2017-01-25,3.05
2017-01-26,3.05
2017-01-27,3.0
2017-01-30,3.05
2017-01-31,3.05
2017-02-01,3.1
2017-02-02,3.1
2017-02-03,3.1
2017-02-06,3.1
2017-02-07,3.05
2017-02-08,3.05
2017-02-09,3.05
2017-02-10,3.05
2017-02-13,3.1
2017-02-14,3.1
2017-02-15,3.3
2017-02-16,3.25
2017-02-17,3.3
2017-02-21,3.3
2017-02-22,3.35
2017-02-23,3.35
2017-02-24,3.5
2017-02-27,3.6
2017-02-28,3.45
2017-03-01,3.5
2017-03-02,3.2
2017-03-03,3.15
2017-03-06,3.1
2017-03-07,3.0
2017-03-08,2.95
2017-03-09,2.9
2017-03-10,2.8
2017-03-13,2.9
2017-03-14,2.8
2017-03-15,2.8
2017-03-16,2.75
2017-03-17,2.75
2017-03-20,2.75
2017-03-21,2.8
2017-03-22,2.65
2017-03-23,2.75
2017-03-24,2.7
2017-03-27,2.7
2017-03-28,2.65
2017-03-29,2.65
2017-03-30,2.8
2017-03-31,2.8
2017-04-03,2.95
2017-04-04,3.05
2017-04-05,2.95
2017-04-06,2.85
2017-04-07,3.0
2017-04-10,3.0
2017-04-11,2.95
2017-04-12,2.95
2017-04-13,2.9
2017-04-17,2.75
2017-04-18,2.8
2017-04-19,2.75
2017-04-20,2.75
2017-04-21,2.75
2017-04-24,2.85
2017-04-25,2.95
2017-04-26,2.95
2017-04-27,2.9
2017-04-28,3.0
2017-05-01,2.95
2017-05-02,3.0
2017-05-03,3.0
2017-05-04,2.9
2017-05-05,2.95
2017-05-08,3.0
2017-05-09,2.85
2017-05-10,2.95
2017-05-11,2.8
2017-05-12,2.75
2017-05-15,2.8
2017-05-16,2.8
2017-05-17,2.75
2017-05-18,2.9
2017-05-19,3.0
2017-05-22,3.0
2017-05-23,3.1
2017-05-24,3.15
2017-05-25,3.15
2017-05-26,3.1
2017-05-30,3.15
2017-05-31,3.2
2017-06-01,3.1
2017-06-02,3.1
2017-06-05,3.25
2017-06-06,3.15
2017-06-07,3.2
2017-06-08,3.25
2017-06-09,3.3
2017-06-12,3.35
2017-06-13,3.4
2017-06-14,3.5
2017-06-15,3.65
2017-06-16,4.0
2017-06-19,4.35
2017-06-20,5.2
2017-06-21,5.4
2017-06-22,5.5
2017-06-23,5.7
